Race,Season,Driver,Team,LapNumber,LapTime_s,Sector1_s,Sector2_s,Sector3_s,Compound,TyreLife,SpeedI1,SpeedI2,SpeedFL,SpeedST,ThrottleStd,LapConsistency_5
British,2023,DEV,AlphaTauri,6.0,94.907,29.823,38.701,26.383,SOFT,6.0,314.0,254.0,243.0,317.0,42.588,0.7458
British,2023,DEV,AlphaTauri,7.0,95.054,29.867,38.86,26.327,SOFT,7.0,313.0,255.0,243.0,318.0,41.606,0.3238
British,2023,DEV,AlphaTauri,8.0,93.896,29.915,37.971,26.01,SOFT,8.0,294.0,253.0,244.0,301.0,40.83,0.494
British,2023,DEV,AlphaTauri,9.0,93.774,29.853,37.925,25.996,SOFT,9.0,298.0,252.0,244.0,305.0,39.678,0.598
British,2023,DEV,AlphaTauri,10.0,93.985,29.892,38.185,25.908,SOFT,10.0,299.0,251.0,244.0,304.0,39.649,0.6069
British,2023,DEV,AlphaTauri,11.0,93.758,29.689,38.243,25.826,SOFT,11.0,314.0,255.0,244.0,320.0,41.535,0.545
British,2023,DEV,AlphaTauri,12.0,94.165,29.904,38.25,26.011,SOFT,12.0,312.0,254.0,245.0,320.0,41.014,0.1675
British,2023,DEV,AlphaTauri,13.0,94.232,29.768,38.404,26.06,SOFT,13.0,312.0,256.0,244.0,317.0,42.242,0.2176
British,2023,DEV,AlphaTauri,14.0,94.879,30.138,38.804,25.937,SOFT,14.0,313.0,253.0,245.0,323.0,42.146,0.4198
British,2023,DEV,AlphaTauri,15.0,94.17,30.231,38.014,25.925,SOFT,15.0,294.0,252.0,245.0,298.0,40.344,0.4035
British,2023,DEV,AlphaTauri,16.0,94.148,30.057,38.044,26.047,SOFT,16.0,293.0,252.0,245.0,301.0,40.907,0.3148
British,2023,DEV,AlphaTauri,17.0,93.637,30.045,37.781,25.811,SOFT,17.0,293.0,253.0,245.0,302.0,39.837,0.4421
British,2023,DEV,AlphaTauri,18.0,93.453,29.966,37.757,25.73,SOFT,18.0,293.0,253.0,245.0,300.0,41.424,0.5563
British,2023,DEV,AlphaTauri,19.0,93.835,30.126,38.0,25.709,SOFT,19.0,292.0,253.0,246.0,301.0,40.072,0.314
British,2023,DEV,AlphaTauri,20.0,93.48,29.94,37.85,25.69,SOFT,20.0,294.0,252.0,246.0,299.0,39.795,0.288
